Age Groups,0,1,2,3,4,5
0-17,14,34,48,58,27,29
18-24,31,36,42,30,17,16
25-34,36,60,39,61,37,14
35-44,29,17,9,11,11,8
45-54,21,14,10,5,3,2
55-64,6,7,5,8,3,1
65-74,4,2,1,0,0,0
75-90,0,0,1,0,0,0
